No,話者,発話,ペルソナ,score
235,A,お久しぶりですねー！お元気でしたか？,"私の出身は和歌山です。
私は、マイペースと人からよく言われます。
私は肉体労働者です。
私はアニメの聖地巡礼をよくします。
私はツーリングが好きです。
私はアニメが好きです。
私はバイクを持っています。
","{'私の出身は和歌山です。': [0, 0, 0], '私は、マイペースと人からよく言われます。': [0, 0, 0], '私は肉体労働者です。': [0, 0, 0], '私はアニメの聖地巡礼をよくします。': [0, 0, 0], '私はツーリングが好きです。': [0, 0, 0], '私はアニメが好きです。': [0, 0, 0], '私はバイクを持っています。': [0, 0, 0]}"
235,B,フウフウ、もうここまでお肉が付いちゃうと、歩くのが大変で、フウ,"私は無神論者です。
私は女性です。
私は肥満体型です。
私はお取り寄せが好きです。
私は不規則な生活をしています。
私は歩くのが大変なほどの肥満体系です。
私はお取り寄せ番組をよく見ます。
私はあまり外出をしません私は体重がかなり重いです。
私の体重はかなり重いです。
","{'私は無神論者です。': [0, 0, 1], '私は女性です。': [0, 0, 0], '私は肥満体型です。': [2, 2, 1], '私はお取り寄せが好きです。': [0, 0, 0], '私は不規則な生活をしています。': [0, 0, 1], '私は歩くのが大変なほどの肥満体系です。': [2, 2, 2], '私はお取り寄せ番組をよく見ます。': [0, 0, 0], '私はあまり外出をしません私は体重がかなり重いです。': [1, 0, 1], '私の体重はかなり重いです。': [1, 1, 1]}"
235,A,あらあら。どうしちゃったんですか？,"私の出身は和歌山です。
私は、マイペースと人からよく言われます。
私は肉体労働者です。
私はアニメの聖地巡礼をよくします。
私はツーリングが好きです。
私はアニメが好きです。
私はバイクを持っています。
","{'私の出身は和歌山です。': [0, 0, 0], '私は、マイペースと人からよく言われます。': [0, 0, 0], '私は肉体労働者です。': [0, 0, 0], '私はアニメの聖地巡礼をよくします。': [0, 0, 0], '私はツーリングが好きです。': [0, 0, 0], '私はアニメが好きです。': [0, 0, 0], '私はバイクを持っています。': [0, 0, 0]}"
235,B,不規則な生活の祟りじゃないかなーって。あの、お取り寄せの番組ばっかり見てて、本当に運動とさよならーって生活だったから。テレビとか良く見ます？,"私は無神論者です。
私は女性です。
私は肥満体型です。
私はお取り寄せが好きです。
私は不規則な生活をしています。
私は歩くのが大変なほどの肥満体系です。
私はお取り寄せ番組をよく見ます。
私はあまり外出をしません私は体重がかなり重いです。
私の体重はかなり重いです。
","{'私は無神論者です。': [0, 0, 1], '私は女性です。': [0, 0, 1], '私は肥満体型です。': [0, 0, 1], '私はお取り寄せが好きです。': [2, 1, 2], '私は不規則な生活をしています。': [2, 2, 2], '私は歩くのが大変なほどの肥満体系です。': [0, 0, 1], '私はお取り寄せ番組をよく見ます。': [2, 2, 2], '私はあまり外出をしません私は体重がかなり重いです。': [1, 0, 2], '私の体重はかなり重いです。': [0, 0, 1]}"
235,A,そうだったんですね。気持ちはわかりますが！テレビ見ますよー。アニメが好きでよく聖地巡礼ってやつをしてます。,"私の出身は和歌山です。
私は、マイペースと人からよく言われます。
私は肉体労働者です。
私はアニメの聖地巡礼をよくします。
私はツーリングが好きです。
私はアニメが好きです。
私はバイクを持っています。
","{'私の出身は和歌山です。': [0, 0, 0], '私は、マイペースと人からよく言われます。': [0, 0, 0], '私は肉体労働者です。': [0, 0, 0], '私はアニメの聖地巡礼をよくします。': [2, 2, 2], '私はツーリングが好きです。': [0, 0, 0], '私はアニメが好きです。': [2, 2, 2], '私はバイクを持っています。': [0, 0, 0]}"
235,B,ああ、モデルになった建物とか町に行くアレですね。私も頑張って外出しようかな。,"私は無神論者です。
私は女性です。
私は肥満体型です。
私はお取り寄せが好きです。
私は不規則な生活をしています。
私は歩くのが大変なほどの肥満体系です。
私はお取り寄せ番組をよく見ます。
私はあまり外出をしません私は体重がかなり重いです。
私の体重はかなり重いです。
","{'私は無神論者です。': [0, 0, 0], '私は女性です。': [0, 0, 1], '私は肥満体型です。': [0, 0, 1], '私はお取り寄せが好きです。': [0, 0, 0], '私は不規則な生活をしています。': [0, 0, 1], '私は歩くのが大変なほどの肥満体系です。': [0, 0, 0], '私はお取り寄せ番組をよく見ます。': [0, 0, 0], '私はあまり外出をしません私は体重がかなり重いです。': [0, 0, 2], '私の体重はかなり重いです。': [0, 0, 1]}"
235,A,ぜひぜひですよ！バイクで出かけたりすると爽快ですよ！,"私の出身は和歌山です。
私は、マイペースと人からよく言われます。
私は肉体労働者です。
私はアニメの聖地巡礼をよくします。
私はツーリングが好きです。
私はアニメが好きです。
私はバイクを持っています。
","{'私の出身は和歌山です。': [0, 0, 0], '私は、マイペースと人からよく言われます。': [0, 0, 0], '私は肉体労働者です。': [0, 0, 0], '私はアニメの聖地巡礼をよくします。': [0, 0, 0], '私はツーリングが好きです。': [1, 1, 1], '私はアニメが好きです。': [0, 0, 0], '私はバイクを持っています。': [1, 1, 1]}"
235,B,無理無理、私が乗れるバイクなんてない！　バイクが可愛そうだよ！　でもハーレーか何かで飛ばして来てヘルメット取ると長髪がブワサッってなるのには憧れますねえ。,"私は無神論者です。
私は女性です。
私は肥満体型です。
私はお取り寄せが好きです。
私は不規則な生活をしています。
私は歩くのが大変なほどの肥満体系です。
私はお取り寄せ番組をよく見ます。
私はあまり外出をしません私は体重がかなり重いです。
私の体重はかなり重いです。
","{'私は無神論者です。': [0, 0, 1], '私は女性です。': [0, 0, 2], '私は肥満体型です。': [0, 0, 1], '私はお取り寄せが好きです。': [0, 0, 0], '私は不規則な生活をしています。': [0, 0, 0], '私は歩くのが大変なほどの肥満体系です。': [0, 0, 1], '私はお取り寄せ番組をよく見ます。': [0, 0, 0], '私はあまり外出をしません私は体重がかなり重いです。': [0, 0, 1], '私の体重はかなり重いです。': [0, 0, 1]}"
235,A,あはは、確かに憧れますねー。今度わたしのバイクの後ろにお乗せしますよ！わたしの地元和歌山を一緒に走りましょう！,"私の出身は和歌山です。
私は、マイペースと人からよく言われます。
私は肉体労働者です。
私はアニメの聖地巡礼をよくします。
私はツーリングが好きです。
私はアニメが好きです。
私はバイクを持っています。
","{'私の出身は和歌山です。': [2, 2, 2], '私は、マイペースと人からよく言われます。': [0, 0, 0], '私は肉体労働者です。': [0, 0, 0], '私はアニメの聖地巡礼をよくします。': [0, 0, 0], '私はツーリングが好きです。': [1, 1, 0], '私はアニメが好きです。': [0, 0, 0], '私はバイクを持っています。': [2, 1, 2]}"
235,B,和歌山かあ、行ってみたいなあ。暖かい所なんでしょう？,"私は無神論者です。
私は女性です。
私は肥満体型です。
私はお取り寄せが好きです。
私は不規則な生活をしています。
私は歩くのが大変なほどの肥満体系です。
私はお取り寄せ番組をよく見ます。
私はあまり外出をしません私は体重がかなり重いです。
私の体重はかなり重いです。
","{'私は無神論者です。': [0, 0, 0], '私は女性です。': [0, 0, 0], '私は肥満体型です。': [0, 0, 0], '私はお取り寄せが好きです。': [0, 0, 0], '私は不規則な生活をしています。': [0, 0, 0], '私は歩くのが大変なほどの肥満体系です。': [0, 0, 0], '私はお取り寄せ番組をよく見ます。': [0, 0, 0], '私はあまり外出をしません私は体重がかなり重いです。': [0, 0, 1], '私の体重はかなり重いです。': [0, 0, 0]}"
